distributor_id,industry,sku,category,sales,avg_quarterly_sales,movement_category,quarter,year,total_quarter_sales,prev_quarter_sales,is_diwali,is_ganesh_chaturthi,is_gudi_padwa,is_eid,is_akshay_tritiya,is_dussehra_navratri,is_onam,is_christmas,time_idx
0,5,136,10,2938.93,2378.99,1,2,2021,2938.93,2647.17,0,0,1,1,1,0,0,0,0
0,5,136,10,4818.94,2378.99,1,4,2022,4818.94,4481.01,1,0,0,0,0,1,0,1,1
0,5,136,10,3712.86,2378.99,1,2,2023,3712.86,4818.94,0,0,1,0,1,0,0,0,2
0,5,136,10,3487.3,2378.99,1,3,2024,3487.3,3162.65,0,1,0,0,0,1,1,0,3
0,5,136,10,2768.32,2378.99,0,1,2025,2768.32,5339.87,0,0,1,1,0,0,0,0,4
0,5,136,10,5179.49,2378.99,0,4,2025,5179.49,4257.1,1,0,0,0,0,1,0,1,5
0,5,107,10,13956.36,21784.25,2,2,2020,13956.36,13800.25,0,0,1,1,1,0,0,0,6
0,5,107,10,28159.21,21784.25,0,4,2020,28159.21,18198.34,1,0,0,1,0,1,0,1,7
0,5,107,10,13794.94,21784.25,2,1,2022,13794.94,27421.04,0,0,1,1,0,0,0,0,8
0,5,107,10,21984.82,21784.25,0,3,2022,21984.82,17887.05,0,1,0,1,0,1,1,0,9
0,5,107,10,19464.21,21784.25,1,2,2023,19464.21,18893.92,0,0,1,0,1,0,0,0,10
0,5,107,10,15160.36,21784.25,1,1,2024,15160.36,28645.77,0,0,1,1,0,0,0,0,11
0,5,107,10,21670.01,21784.25,0,2,2024,21670.01,15160.36,0,0,1,1,1,0,0,0,12
0,5,107,10,21103.23,21784.25,2,3,2024,21103.23,21670.01,0,1,0,0,0,1,1,0,13
0,5,107,10,21850.25,21784.25,1,2,2025,21850.25,29007.42,0,0,1,1,1,0,0,0,14
0,5,107,10,26897.86,21784.25,1,4,2025,26897.86,25941.6,1,0,0,0,0,1,0,1,15
